,Methods,Protein length,tmscore
853,PVQD,70,0.57715
854,PVQD,70,0.29421
855,PVQD,70,0.19849
856,PVQD,70,0.36234
857,PVQD,70,0.22122
858,PVQD,70,0.36871
859,PVQD,70,0.35796
860,PVQD,70,0.27585
861,PVQD,70,0.30581
862,PVQD,70,0.35039
863,PVQD,70,0.32448
864,PVQD,70,0.288
865,PVQD,70,0.31697
866,PVQD,70,0.34103
867,PVQD,70,0.32562
868,PVQD,70,0.38591
869,PVQD,70,0.34186
870,PVQD,70,0.29202
871,PVQD,70,0.21274
872,PVQD,70,0.37827
873,PVQD,70,0.23411
874,PVQD,70,0.35127
875,PVQD,70,0.37741
876,PVQD,70,0.38404
877,PVQD,70,0.28612
878,PVQD,70,0.24589
879,PVQD,70,0.25053
880,PVQD,70,0.13996
881,PVQD,70,0.30649
882,PVQD,70,0.33603
883,PVQD,70,0.29056
884,PVQD,70,0.36952
885,PVQD,70,0.34228
886,PVQD,70,0.34789
887,PVQD,70,0.35191
888,PVQD,70,0.38268
889,PVQD,70,0.31929
890,PVQD,70,0.22528
891,PVQD,70,0.35546
892,PVQD,70,0.46707
893,PVQD,70,0.29994
894,PVQD,70,0.35001
895,PVQD,70,0.45422
896,PVQD,70,0.30349
897,PVQD,70,0.32704
898,PVQD,70,0.51073
899,PVQD,70,0.27314
900,PVQD,70,0.34454
901,PVQD,70,0.22112
902,PVQD,70,0.1355
903,PVQD,70,0.23913
904,PVQD,70,0.227
905,PVQD,70,0.21766
906,PVQD,70,0.36187
907,PVQD,70,0.25275
908,PVQD,70,0.26151
909,PVQD,70,0.22205
910,PVQD,70,0.272
911,PVQD,70,0.25587
912,PVQD,70,0.30636
913,PVQD,70,0.33875
914,PVQD,70,0.14065
915,PVQD,70,0.1376
916,PVQD,70,0.2668
917,PVQD,70,0.35506
918,PVQD,70,0.29204
919,PVQD,70,0.3876
920,PVQD,70,0.24394
921,PVQD,70,0.33212
922,PVQD,70,0.29345
923,PVQD,70,0.22383
924,PVQD,70,0.3343
925,PVQD,70,0.30192
926,PVQD,70,0.38109
927,PVQD,70,0.25571
928,PVQD,70,0.24808
929,PVQD,70,0.36193
930,PVQD,70,0.31086
931,PVQD,70,0.27651
932,PVQD,70,0.33976
933,PVQD,70,0.30393
934,PVQD,70,0.42983
935,PVQD,70,0.14097
936,PVQD,70,0.25211
937,PVQD,70,0.37016
938,PVQD,70,0.37981
939,PVQD,70,0.36233
940,PVQD,70,0.31796
941,PVQD,70,0.24928
942,PVQD,70,0.35858
943,PVQD,70,0.4404
944,PVQD,70,0.28307
945,PVQD,70,0.27089
946,PVQD,70,0.57226
947,PVQD,70,0.23194
948,PVQD,70,0.22188
949,PVQD,70,0.31239
950,PVQD,70,0.27388
951,PVQD,70,0.21536
952,PVQD,70,0.40258
953,PVQD,70,0.28373
954,PVQD,70,0.24983
955,PVQD,70,0.32258
956,PVQD,70,0.28149
957,PVQD,70,0.22479
958,PVQD,70,0.28228
959,PVQD,70,0.288
960,PVQD,70,0.68955
961,PVQD,70,0.22083
962,PVQD,70,0.43502
963,PVQD,70,0.31371
964,PVQD,70,0.21834
965,PVQD,70,0.23126
966,PVQD,70,0.31278
967,PVQD,70,0.34896
968,PVQD,70,0.29769
969,PVQD,70,0.63385
970,PVQD,70,0.27306
971,PVQD,70,0.27822
972,PVQD,70,0.35421
973,PVQD,70,0.22902
974,PVQD,70,0.2254
975,PVQD,70,0.24107
976,PVQD,70,0.20863
977,PVQD,70,0.27147
978,PVQD,70,0.37125
979,PVQD,70,0.45816
980,PVQD,70,0.28108
981,PVQD,70,0.2773
982,PVQD,70,0.24952
983,PVQD,70,0.24623
984,PVQD,70,0.46043
985,PVQD,70,0.41937
986,PVQD,70,0.32201
987,PVQD,70,0.24212
988,PVQD,70,0.52532
989,PVQD,70,0.2791
990,PVQD,70,0.53215
991,PVQD,70,0.61825
992,PVQD,70,0.47353
993,PVQD,70,0.58201
994,PVQD,70,0.47078
